,Thurrock,
Date,Ozone,Status
01/07/2024,50.97588,"P µg/m³"
02/07/2024,44.81178,"P µg/m³"
03/07/2024,45.28576,"P µg/m³"
04/07/2024,60.33666,"P µg/m³"
05/07/2024,40.68733,"P µg/m³"
06/07/2024,48.12963,"P µg/m³"
07/07/2024,49.00275,"P µg/m³"
08/07/2024,48.72834,"P µg/m³"
09/07/2024,37.07013,"P µg/m³"
10/07/2024,60.60276,"P µg/m³"
11/07/2024,64.12849,"P µg/m³"
12/07/2024,55.47215,"P µg/m³"
13/07/2024,53.81738,"P µg/m³"
14/07/2024,65.11803,"P µg/m³"
15/07/2024,50.88204,"P µg/m³"
16/07/2024,53.74254,"P µg/m³"
17/07/2024,55.67135,"P µg/m³"
18/07/2024,57.08534,"P µg/m³"
19/07/2024,77.76578,"P µg/m³"
20/07/2024,46.43329,"P µg/m³"
21/07/2024,50.99845,"P µg/m³"
22/07/2024,47.29809,"P µg/m³"
23/07/2024,45.85952,"P µg/m³"
24/07/2024,"No data","P µg/m³"
25/07/2024,"No data","P µg/m³"
26/07/2024,"No data","P µg/m³"
27/07/2024,"No data","P µg/m³"
28/07/2024,"No data","P µg/m³"
